[08/29 18:49:31] psnet5 INFO: Full config saved to log/psnet5/respointnet2_dp_fi_df_fc1_max_20260829184931/config.json
[08/29 18:49:33] psnet5 INFO: length of training dataset: 2000
[08/29 18:49:33] psnet5 INFO: length of validation dataset: 2000
[08/29 18:56:39] psnet5 INFO: Train: [1/3][420/1000]	T 0.945 (1.011)	DT 0.000 (0.001)	loss 1.261 (1.255)
[08/29 18:56:49] psnet5 INFO: Train: [1/3][430/1000]	T 0.966 (1.010)	DT 0.000 (0.000)	loss 0.909 (1.251)
[08/29 18:56:58] psnet5 INFO: Train: [1/3][440/1000]	T 1.017 (1.008)	DT 0.000 (0.000)	loss 0.776 (1.248)
[08/29 18:57:08] psnet5 INFO: Train: [1/3][450/1000]	T 0.926 (1.008)	DT 0.000 (0.000)	loss 1.699 (1.253)
[08/29 18:57:18] psnet5 INFO: Train: [1/3][460/1000]	T 0.961 (1.007)	DT 0.000 (0.000)	loss 0.886 (1.256)
[08/29 18:57:27] psnet5 INFO: Train: [1/3][470/1000]	T 0.980 (1.005)	DT 0.000 (0.000)	loss 1.061 (1.254)
[08/29 18:57:36] psnet5 INFO: Train: [1/3][480/1000]	T 0.879 (1.004)	DT 0.000 (0.000)	loss 1.747 (1.254)
[08/29 18:57:46] psnet5 INFO: Train: [1/3][490/1000]	T 1.003 (1.002)	DT 0.000 (0.000)	loss 1.002 (1.253)
[08/29 18:57:56] psnet5 INFO: Train: [1/3][500/1000]	T 0.988 (1.002)	DT 0.000 (0.000)	loss 1.162 (1.250)
[08/29 18:58:05] psnet5 INFO: Train: [1/3][510/1000]	T 0.876 (1.001)	DT 0.000 (0.000)	loss 0.769 (1.245)
[08/29 18:58:15] psnet5 INFO: Train: [1/3][520/1000]	T 1.203 (1.002)	DT 0.000 (0.000)	loss 0.629 (1.242)
[08/29 18:58:26] psnet5 INFO: Train: [1/3][530/1000]	T 0.949 (1.002)	DT 0.000 (0.000)	loss 1.762 (1.249)
[08/29 18:58:36] psnet5 INFO: Train: [1/3][540/1000]	T 0.948 (1.002)	DT 0.000 (0.000)	loss 0.556 (1.247)
[08/29 18:58:46] psnet5 INFO: Train: [1/3][550/1000]	T 0.989 (1.002)	DT 0.000 (0.000)	loss 1.274 (1.242)
[08/29 18:58:56] psnet5 INFO: Train: [1/3][560/1000]	T 0.906 (1.003)	DT 0.000 (0.000)	loss 2.289 (1.245)
